model_name,image_stem,score,pred_box,best_iou,matched_gt_index,is_tp,is_fp,iou_threshold,cum_tp,cum_fp,precision_curve,recall_curve
FasterRCNN,Cars281,0.9732734560966492,"[148.5406494140625, 164.67636108398438, 238.092529296875, 190.58448791503906]",0.5104161557656792,0,1,0,0.5,9,0,1.0,0.1267605633802817
RetinaNet,Cars196,0.5703660249710083,"[106.52849578857422, 130.0399169921875, 142.68446350097656, 140.8082275390625]",0.5131658701862803,0,1,0,0.5,52,10,0.8387096774193549,0.7323943661971831
RetinaNet,Cars96,0.7522836923599243,"[139.08543395996094, 127.21755981445312, 239.56297302246094, 150.06248474121094]",0.5274360838024329,0,1,0,0.5,42,5,0.8936170212765957,0.5915492957746479
FasterRCNN,Cars416,0.9545103311538696,"[148.68582153320312, 201.61756896972656, 234.8306427001953, 227.25242614746094]",0.5325338835129293,0,1,0,0.5,23,0,1.0,0.323943661971831
RetinaNet,Cars236,0.05026879906654358,"[225.04087829589844, 105.29100036621094, 245.91668701171875, 115.45641326904297]",0.5396658470748197,0,1,0,0.5,68,576,0.10559006211180125,0.9577464788732394
RetinaNet,Cars202,0.11726055294275284,"[200.74392700195312, 140.60098266601562, 242.99232482910156, 161.94093322753906]",0.5664632277464818,0,1,0,0.5,65,125,0.34210526315789475,0.9154929577464789
FasterRCNN,Cars211,0.7398257255554199,"[136.30059814453125, 38.97509002685547, 375.4015197753906, 253.29348754882812]",0.5698713581198597,0,1,0,0.5,51,2,0.9622641509433962,0.7183098591549296
FasterRCNN,Cars182,0.9782347083091736,"[151.9849395751953, 134.1162872314453, 249.84170532226562, 162.30459594726562]",0.5727923511101614,0,1,0,0.5,7,0,1.0,0.09859154929577464
RetinaNet,Cars106,0.08245042711496353,"[232.01585388183594, 191.06231689453125, 275.1649169921875, 212.32215881347656]",0.5775921155268732,3,1,0,0.5,66,212,0.23741007194244604,0.9295774647887324
RetinaNet,Cars203,0.7440499663352966,"[125.8652114868164, 119.2779769897461, 276.8905944824219, 153.08865356445312]",0.5831957660655441,0,1,0,0.5,44,5,0.8979591836734694,0.6197183098591549
FasterRCNN,Cars183,0.9881564378738403,"[81.22348022460938, 131.77398681640625, 248.6602325439453, 174.85305786132812]",0.607789823505303,0,1,0,0.5,1,0,1.0,0.014084507042253521
RetinaNet,Cars14,0.7479349970817566,"[135.1772918701172, 117.9376449584961, 282.6373291015625, 155.77285766601562]",0.6216300820102337,0,1,0,0.5,43,5,0.8958333333333334,0.6056338028169014
FasterRCNN,Cars106,0.8178238868713379,"[229.99090576171875, 197.67092895507812, 274.4689636230469, 215.04983520507812]",0.6223671479501586,3,1,0,0.5,47,2,0.9591836734693877,0.6619718309859155
RetinaNet,Cars65,0.8204996585845947,"[203.52928161621094, 209.28121948242188, 296.13287353515625, 249.4285888671875]",0.6256753864750783,0,1,0,0.5,35,3,0.9210526315789473,0.49295774647887325
FasterRCNN,Cars169,0.95308518409729,"[116.99629211425781, 74.130126953125, 220.81800842285156, 106.66168212890625]",0.6303679287428194,0,1,0,0.5,24,0,1.0,0.3380281690140845
FasterRCNN,Cars14,0.2595348060131073,"[103.8136978149414, 109.01970672607422, 302.5404968261719, 159.05116271972656]",0.6318913209433867,0,1,0,0.5,60,14,0.8108108108108109,0.8450704225352113
RetinaNet,Cars168,0.8657498359680176,"[84.31342315673828, 101.2000503540039, 136.5947723388672, 121.34378814697266]",0.6382677511439067,0,1,0,0.5,28,2,0.9333333333333333,0.39436619718309857
FasterRCNN,Cars405,0.941555380821228,"[245.74354553222656, 212.5289306640625, 294.4097900390625, 231.65200805664062]",0.6418264552485198,0,1,0,0.5,31,0,1.0,0.43661971830985913
FasterRCNN,Cars370,0.982620894908905,"[283.1690673828125, 244.81707763671875, 415.99725341796875, 284.23834228515625]",0.6455034352587796,0,1,0,0.5,2,0,1.0,0.028169014084507043
RetinaNet,Cars7,0.42744964361190796,"[163.78785705566406, 137.3813934326172, 203.8092041015625, 152.87130737304688]",0.6494805738446182,0,1,0,0.5,57,18,0.76,0.8028169014084507
