score_threshold,precision,recall,f1,ap,num_predictions,tp,fp,fn,model_name
0.05,0.4621212121212121,0.8591549295774648,0.6009852216748768,0.8324252731844447,132,61,71,10,FasterRCNN
0.1,0.61,0.8591549295774648,0.7134502923976608,0.8324252731844447,100,61,39,10,FasterRCNN
0.15,0.7176470588235294,0.8591549295774648,0.782051282051282,0.8324252731844447,85,61,24,10,FasterRCNN
0.2,0.75,0.8450704225352113,0.794701986754967,0.8249689719987705,80,60,20,11,FasterRCNN
0.25,0.8,0.8450704225352113,0.821917808219178,0.8249689719987705,75,60,15,11,FasterRCNN
0.3,0.8428571428571429,0.8309859154929577,0.8368794326241136,0.8169411421887626,70,59,11,12,FasterRCNN
0.35,0.8805970149253731,0.8309859154929577,0.8550724637681161,0.8169411421887626,67,59,8,12,FasterRCNN
0.4,0.8923076923076924,0.8169014084507042,0.8529411764705882,0.7992393720117449,65,58,7,13,FasterRCNN
0.45,0.8923076923076924,0.8169014084507042,0.8529411764705882,0.7992393720117449,65,58,7,13,FasterRCNN
0.5,0.9047619047619048,0.8028169014084507,0.8507462686567164,0.7902371325020795,63,57,6,14,FasterRCNN
0.55,0.9047619047619048,0.8028169014084507,0.8507462686567164,0.7902371325020795,63,57,6,14,FasterRCNN
0.6,0.9032258064516129,0.7887323943661971,0.8421052631578947,0.7723210551800618,62,56,6,15,FasterRCNN
0.65,0.9137931034482759,0.7464788732394366,0.8217054263565892,0.7358373898547955,58,53,5,18,FasterRCNN
0.7,0.9122807017543859,0.7323943661971831,0.8124999999999999,0.7267599848366167,57,52,5,19,FasterRCNN
0.75,0.9615384615384616,0.704225352112676,0.8130081300813008,0.6991029872217991,52,50,2,21,FasterRCNN
0.8,0.9607843137254902,0.6901408450704225,0.8032786885245901,0.6895230699540542,51,49,2,22,FasterRCNN
0.85,0.9565217391304348,0.6197183098591549,0.7521367521367522,0.6134213421342134,46,44,2,27,FasterRCNN
0.9,0.9767441860465116,0.5915492957746479,0.7368421052631579,0.594059405940594,43,42,1,29,FasterRCNN
0.95,1.0,0.352112676056338,0.5208333333333333,0.3564356435643564,25,25,0,46,FasterRCNN
0.05,0.10429447852760736,0.9577464788732394,0.18810511756569848,0.8253619955802914,652,68,584,3,RetinaNet
0.1,0.29411764705882354,0.9154929577464789,0.44520547945205485,0.8188661119545114,221,65,156,6,RetinaNet
0.15,0.41025641025641024,0.9014084507042254,0.5638766519823789,0.8154789311311659,156,64,92,7,RetinaNet
0.2,0.5203252032520326,0.9014084507042254,0.6597938144329897,0.8154789311311659,123,64,59,7,RetinaNet
0.25,0.5943396226415094,0.8873239436619719,0.711864406779661,0.8041635138751545,106,63,43,8,RetinaNet
0.3,0.6494845360824743,0.8873239436619719,0.7500000000000001,0.8041635138751545,97,63,34,8,RetinaNet
0.35,0.6818181818181818,0.8450704225352113,0.7547169811320754,0.7775803750120691,88,60,28,11,RetinaNet
0.4,0.7407407407407407,0.8450704225352113,0.7894736842105262,0.7775803750120691,81,60,21,11,RetinaNet
0.45,0.7887323943661971,0.7887323943661971,0.7887323943661971,0.7322222677727738,71,56,15,15,RetinaNet
0.5,0.8181818181818182,0.7605633802816901,0.7883211678832117,0.7162853577059001,66,54,12,17,RetinaNet
0.55,0.8387096774193549,0.7323943661971831,0.7819548872180452,0.6916090439206752,62,52,10,19,RetinaNet
0.6,0.8545454545454545,0.6619718309859155,0.7460317460317459,0.6334806504361655,55,47,8,24,RetinaNet
0.65,0.8545454545454545,0.6619718309859155,0.7460317460317459,0.6334806504361655,55,47,8,24,RetinaNet
0.7,0.8979591836734694,0.6197183098591549,0.7333333333333333,0.5892174678606881,49,44,5,27,RetinaNet
0.75,0.8936170212765957,0.5915492957746479,0.711864406779661,0.5713071227662568,47,42,5,29,RetinaNet
0.8,0.9230769230769231,0.5070422535211268,0.6545454545454545,0.4887942241197904,39,36,3,35,RetinaNet
0.85,0.9090909090909091,0.4225352112676056,0.5769230769230769,0.41540226953971693,33,30,3,41,RetinaNet
0.9,0.9523809523809523,0.28169014084507044,0.4347826086956522,0.2857142857142857,21,20,1,51,RetinaNet
0.95,1.0,0.18309859154929578,0.30952380952380953,0.18811881188118812,13,13,0,58,RetinaNet
